T_celsius,time_months,OIT_avg_min,OIT_surface_min,CO_surface_mol_L
40,4.775510204081632,1.2034241607338065,0.430575802733225,0.005414853321032852
40,4.959183673469387,0.9387305481788368,0.3296528430488909,0.005688292859256817
40,5.142857142857142,0.7312065834121472,0.25211889027282935,0.005967645888209829
40,5.326530612244898,0.5687033497693931,0.192589070167373,0.006253147069129672
40,5.5102040816326525,0.4416574654634494,0.14693543162831407,0.00654503653982862
40,5.693877551020408,0.34247786879391257,0.1119609670765166,0.006843559398334855
40,5.877551020408163,0.2652199188432505,0.0852200156713164,0.007148966031139361
40,6.061224489795918,0.20501883420548722,0.06475225375135256,0.0074615106625669616
40,6.244897959183674,0.15832375220150474,0.049165403358568324,0.007781454228860589
40,6.428571428571429,0.12201637262154373,0.037252716958038695,0.008109059802760043
40,6.612244897959185,0.09389513738019199,0.02818697607549789,0.00844459762918373
