AH0_mult,time_months,OIT_avg_min,OIT_surface_min,CO_surface_mol_L
1.0,3.8571428571428568,4.070594678219006,1.6105728514864244,0.004128558050459211
1.0,4.040816326530612,3.2003130291072375,1.2395303287833719,0.0043757383484990696
1.0,4.224489795918368,2.5120150896099456,0.9530680682989298,0.004627753243220157
1.0,4.408163265306122,1.9686388253877884,0.732088007468273,0.004884803395316945
1.0,4.591836734693877,1.5402933258254032,0.5617050346209203,0.005147097767623462
1.0,4.775510204081632,1.2034241607338065,0.430575802733225,0.005414853321032852
1.0,4.959183673469387,0.9387305481788368,0.3296528430488909,0.005688292859256817
1.0,5.142857142857142,0.7312065834121472,0.25211889027282935,0.005967645888209829
1.0,5.326530612244898,0.5687033497693931,0.192589070167373,0.006253147069129672
1.0,5.5102040816326525,0.4416574654634494,0.14693543162831407,0.00654503653982862
1.0,5.693877551020408,0.34247786879391257,0.1119609670765166,0.006843559398334855
